amount,currency,transaction_type,merchant_category,merchant_id,merchant_risk_score,user_id,account_age_days,kyc_level,avg_txn_amount_7d,avg_txn_amount_30d,device_type,is_new_device,ip_address,ip_risk_score,geo_location,hour,day_of_week,txn_velocity_1h,txn_velocity_24h,failed_txn_count_24h,account_balance,post_txn_balance,balance_change_ratio,amount_to_balance_ratio,is_night_txn,high_velocity_flag,unusual_location_flag,Class
3786.57,INR,UPI,retail,M677,0.35,U2755,157,3,3061,2831,desktop,0,110.94.74.99,0.34,Chennai,18,0,5,14,0,13365,9578.43,0.283,0.283,0,0,0,0
14668.12,INR,card,luxury,M875,0.8,U3515,424,2,1068,995,desktop,1,134.242.205.251,0.81,Kolkata,4,2,13,32,3,16577,1908.88,0.885,0.885,1,1,1,1
45006.96,INR,netbanking,gaming,M528,0.81,U4585,716,2,4985,4776,mobile,1,183.245.183.4,0.92,Pune,0,1,14,20,2,46014,1007.04,0.978,0.978,1,1,1,1
11995.13,INR,UPI,luxury,M160,0.9,U5315,51,1,1905,1728,mobile,1,76.153.144.131,0.97,Mumbai,2,0,13,16,6,14133,2137.87,0.849,0.849,1,1,1,1
10882.64,INR,netbanking,gaming,M878,0.76,U5966,533,1,827,846,desktop,1,50.17.78.167,0.73,Delhi,2,1,11,14,3,11531,648.36,0.944,0.944,1,1,1,1
1356.11,INR,card,travel,M833,0.16,U3099,615,1,3168,3383,desktop,0,29.113.47.153,0.2,Chennai,20,0,5,24,1,23023,21666.89,0.059,0.059,0,0,0,0
20470.88,INR,netbanking,electronics,M360,0.73,U4599,410,2,1173,1155,desktop,1,40.62.56.225,0.72,Pune,0,0,9,11,4,23577,3106.12,0.868,0.868,1,1,1,1
7471.5,INR,card,crypto,M175,0.6,U5121,560,1,4219,4103,mobile,1,35.99.207.173,0.91,Delhi,0,2,12,31,3,9324,1852.5,0.801,0.801,1,1,1,1
494.38,INR,card,food,M511,0.39,U1029,751,1,3831,3657,tablet,0,107.161.1.109,0.34,Mumbai,18,1,1,13,0,13769,13274.62,0.036,0.036,0,0,0,0
8546.41,INR,ATM,travel,M216,0.17,U1065,175,2,4557,4501,mobile,0,110.216.43.53,0.16,Bangalore,10,3,2,17,0,44381,35834.59,0.193,0.193,0,0,0,0
4489.38,INR,UPI,retail,M970,0.15,U1838,189,1,1507,1643,desktop,0,120.157.71.219,0.03,Pune,16,3,5,20,0,24119,19629.62,0.186,0.186,0,0,0,0
37229.63,INR,UPI,investment,M219,0.66,U4906,231,3,3214,3158,desktop,1,17.175.205.18,0.84,Hyderabad,3,4,13,28,2,41585,4355.37,0.895,0.895,1,1,1,1
5058.43,INR,netbanking,crypto,M301,0.73,U4773,604,3,4031,3833,desktop,1,15.13.157.100,0.82,Delhi,2,2,11,26,5,5394,335.57,0.938,0.938,1,1,1,1
36563.48,INR,card,travel,M687,0.72,U5635,179,3,2309,2029,mobile,1,104.47.118.110,0.92,Bangalore,0,2,8,12,7,41597,5033.52,0.879,0.879,1,1,1,1
21103.28,INR,card,luxury,M190,0.69,U4161,245,3,1791,1694,tablet,1,158.20.219.6,0.95,Delhi,3,1,13,14,7,23592,2488.72,0.895,0.895,1,1,1,1
12716.18,INR,UPI,investment,M976,0.92,U3659,822,3,3026,2877,tablet,1,155.209.168.255,0.9,Kolkata,4,4,12,26,6,15864,3147.82,0.802,0.802,1,1,1,1
23997.7,INR,netbanking,electronics,M948,0.68,U5615,429,3,1035,928,desktop,1,50.13.10.98,0.82,Kolkata,0,1,11,23,5,28843,4845.3,0.832,0.832,1,1,1,1
44932.58,INR,UPI,electronics,M576,0.98,U5628,297,2,1211,1488,desktop,1,243.78.94.82,0.81,Hyderabad,1,3,9,25,2,48761,3828.42,0.921,0.921,1,1,1,1
3939.43,INR,netbanking,investment,M227,0.15,U3451,230,1,1637,1666,desktop,0,113.146.170.53,0.16,Hyderabad,8,0,5,23,1,22574,18634.57,0.175,0.175,0,0,0,0
43363.13,INR,UPI,crypto,M741,0.88,U3846,934,2,3825,3533,mobile,1,221.186.66.165,0.97,Delhi,1,0,14,20,2,46659,3295.87,0.929,0.929,1,1,1,1
5154.21,INR,UPI,crypto,M710,0.4,U2144,293,1,1923,2166,mobile,0,170.193.241.24,0.01,Kolkata,15,5,4,6,2,21867,16712.79,0.236,0.236,0,0,0,1
29891.62,INR,UPI,crypto,M460,0.8,U4078,368,1,1526,1715,tablet,1,250.3.68.90,0.86,Bangalore,4,5,14,31,5,32517,2625.38,0.919,0.919,1,1,1,1
503.0,INR,ATM,travel,M979,0.1,U2103,262,3,2309,2580,tablet,0,192.248.108.216,0.11,Pune,15,2,1,8,0,18144,17641.0,0.028,0.028,0,0,0,0
2822.57,INR,UPI,retail,M441,0.09,U1168,67,3,3886,4183,desktop,0,245.50.241.16,0.05,Delhi,18,1,4,21,0,10123,7300.43,0.279,0.279,0,0,0,0
6880.91,INR,UPI,retail,M818,0.17,U2670,79,1,3327,3207,tablet,0,221.120.49.121,0.16,Bangalore,14,3,2,11,0,38117,31236.09,0.181,0.181,0,0,0,0
34784.83,INR,ATM,electronics,M701,0.92,U3570,194,1,1192,1283,desktop,1,177.212.23.96,0.76,Chennai,4,3,14,24,7,40119,5334.17,0.867,0.867,1,1,1,1
5768.55,INR,UPI,electronics,M521,0.36,U3377,761,3,2864,3139,tablet,0,113.189.202.23,0.09,Chennai,17,3,4,20,2,44412,38643.45,0.13,0.13,0,0,0,0
10048.09,INR,card,investment,M256,0.88,U5395,543,3,2445,2244,desktop,1,158.75.119.60,0.78,Kolkata,3,5,11,22,4,11743,1694.91,0.856,0.856,1,1,1,1
26194.08,INR,netbanking,crypto,M503,0.95,U5257,477,2,1888,1856,desktop,1,11.220.242.115,0.84,Kolkata,1,2,11,21,5,31265,5070.92,0.838,0.838,1,1,1,1
34986.14,INR,netbanking,travel,M989,0.7,U4862,348,1,2828,3017,desktop,1,86.252.79.241,0.87,Pune,0,5,12,24,4,43053,8066.86,0.813,0.813,1,1,1,1
2835.66,INR,UPI,travel,M238,0.3,U1023,683,2,756,592,mobile,0,196.246.180.147,0.32,Hyderabad,21,1,3,14,0,49239,46403.34,0.058,0.058,0,0,0,0
10876.95,INR,netbanking,luxury,M390,0.76,U3633,708,3,2918,2768,tablet,1,143.195.195.148,0.74,Bangalore,1,5,8,17,3,12577,1700.05,0.865,0.865,1,1,1,1
13532.41,INR,UPI,investment,M154,0.97,U4340,450,2,2360,2173,desktop,1,14.234.89.64,0.76,Bangalore,3,0,9,24,6,14463,930.59,0.936,0.936,1,1,1,1
7297.51,INR,UPI,retail,M488,0.07,U3215,733,1,2121,2086,desktop,0,91.56.129.25,0.37,Delhi,9,2,5,21,2,37162,29864.49,0.196,0.196,0,0,0,0
29751.16,INR,card,retail,M522,0.73,U4682,351,2,4708,4566,desktop,1,57.242.80.164,0.96,Mumbai,4,1,8,16,4,34774,5022.84,0.856,0.856,1,1,1,1
16653.07,INR,card,electronics,M546,1.0,U5724,556,1,4791,5054,desktop,1,225.136.78.160,0.77,Chennai,4,3,11,17,4,19470,2816.93,0.855,0.855,1,1,1,1
1866.22,INR,UPI,investment,M575,0.32,U2907,673,3,4925,5127,mobile,0,247.60.58.9,0.3,Kolkata,12,5,1,9,2,30145,28278.78,0.062,0.062,0,0,0,0
9487.77,INR,UPI,food,M362,0.12,U1084,898,3,2561,2519,desktop,0,135.202.227.52,0.11,Hyderabad,13,0,2,15,1,39626,30138.23,0.239,0.239,0,0,0,0
113.19,INR,card,luxury,M287,0.09,U1227,65,3,2746,2512,tablet,0,237.222.77.252,0.03,Hyderabad,19,0,3,6,2,49005,48891.81,0.002,0.002,0,0,0,0
736.4,INR,UPI,gaming,M688,0.3,U1296,690,1,1996,2206,mobile,0,122.56.188.222,0.24,Kolkata,17,5,4,20,1,5563,4826.6,0.132,0.132,0,0,0,0
902.86,INR,card,electronics,M830,0.16,U2001,125,2,4948,5056,desktop,0,156.242.251.103,0.33,Delhi,10,2,5,18,2,7240,6337.14,0.125,0.125,0,0,0,0
4576.88,INR,UPI,crypto,M618,0.36,U3138,520,3,3212,3500,mobile,0,57.47.48.250,0.05,Kolkata,13,1,3,16,0,21331,16754.12,0.215,0.215,0,0,0,0
7242.1,INR,ATM,crypto,M488,0.19,U1711,692,2,3884,3657,mobile,0,151.93.9.144,0.28,Mumbai,14,0,3,17,1,41722,34479.9,0.174,0.174,0,0,0,0
26850.6,INR,ATM,travel,M483,0.74,U3801,348,2,804,883,tablet,1,48.140.28.221,0.74,Hyderabad,2,4,13,16,7,28054,1203.4,0.957,0.957,1,1,1,1
30122.43,INR,ATM,electronics,M507,0.88,U3527,665,2,4424,4367,desktop,1,59.150.60.176,0.81,Hyderabad,1,4,13,25,7,31625,1502.57,0.952,0.952,1,1,1,1
28799.77,INR,netbanking,food,M113,0.67,U4752,817,2,1609,1741,tablet,1,198.139.255.202,0.8,Pune,2,3,9,16,4,34403,5603.23,0.837,0.837,1,1,1,1
32614.36,INR,netbanking,retail,M113,0.84,U4321,877,3,2884,2689,desktop,1,74.50.68.236,0.98,Mumbai,1,4,14,28,5,36117,3502.64,0.903,0.903,1,1,1,1
25021.38,INR,ATM,travel,M778,0.94,U4181,174,3,3025,3240,mobile,1,187.220.136.221,0.91,Kolkata,0,2,9,25,6,28629,3607.62,0.874,0.874,1,1,1,1
12582.58,INR,ATM,crypto,M289,0.86,U5183,901,3,2881,2624,mobile,1,15.31.24.47,0.95,Delhi,2,2,11,26,2,14820,2237.42,0.849,0.849,1,1,1,1
5479.3,INR,UPI,luxury,M873,0.19,U2615,374,1,2479,2362,desktop,0,249.125.41.143,0.2,Hyderabad,12,4,3,9,2,28281,22801.7,0.194,0.194,0,0,0,0
36938.04,INR,ATM,food,M824,0.65,U4024,148,3,4077,3781,tablet,1,168.188.40.87,0.82,Chennai,2,0,12,27,4,41261,4322.96,0.895,0.895,1,1,1,1
6854.81,INR,ATM,gaming,M535,0.13,U2413,694,3,3033,3270,mobile,0,245.213.77.60,0.31,Chennai,16,4,4,17,0,30796,23941.19,0.223,0.223,0,0,0,0
9169.08,INR,UPI,electronics,M905,0.38,U1763,107,3,2720,2775,desktop,0,253.127.174.210,0.21,Chennai,11,0,5,6,0,32458,23288.92,0.282,0.282,0,0,0,0
3614.52,INR,card,retail,M829,0.24,U1655,411,2,4756,4503,desktop,0,93.24.48.224,0.36,Kolkata,16,4,4,11,1,21978,18363.48,0.164,0.164,0,0,0,0
27552.11,INR,ATM,gaming,M659,0.69,U5797,296,1,609,575,tablet,1,216.26.75.45,0.93,Hyderabad,1,2,11,30,4,28292,739.89,0.974,0.974,1,1,1,1
18105.52,INR,ATM,retail,M980,0.75,U4849,373,2,2595,2587,desktop,1,131.57.130.58,0.96,Pune,3,0,10,25,6,22312,4206.48,0.811,0.811,1,1,1,1
21475.96,INR,netbanking,travel,M547,0.99,U5153,984,3,4653,4840,desktop,1,45.157.44.226,0.91,Bangalore,0,1,11,20,2,26303,4827.04,0.816,0.816,1,1,1,1
8051.87,INR,netbanking,food,M735,0.12,U1468,262,2,1484,1771,desktop,0,168.158.115.155,0.03,Mumbai,16,2,3,20,2,30536,22484.13,0.264,0.264,0,0,0,0
6419.06,INR,netbanking,travel,M629,0.15,U1157,788,1,3738,3506,desktop,0,233.79.229.78,0.16,Mumbai,10,5,4,13,0,46741,40321.94,0.137,0.137,0,0,0,0
1286.55,INR,UPI,food,M584,0.33,U2295,736,2,680,919,mobile,0,63.122.230.241,0.27,Hyderabad,18,4,5,10,1,8705,7418.45,0.148,0.148,0,0,0,0
1065.63,INR,UPI,luxury,M253,0.12,U1497,977,3,4064,4103,mobile,0,132.161.126.52,0.02,Hyderabad,14,3,3,13,2,11950,10884.37,0.089,0.089,0,0,0,0
31463.26,INR,netbanking,retail,M669,0.72,U5740,179,3,1854,1656,desktop,1,145.151.36.83,0.93,Hyderabad,1,1,8,18,2,39110,7646.74,0.804,0.804,1,1,1,1
5815.12,INR,UPI,travel,M223,0.74,U3940,351,2,2913,3119,desktop,1,221.113.123.235,0.8,Chennai,2,3,9,18,3,7165,1349.88,0.812,0.812,1,1,1,1
13147.76,INR,netbanking,retail,M191,0.63,U4456,740,1,2665,2545,desktop,1,47.58.124.84,0.72,Bangalore,2,4,11,23,7,13631,483.24,0.965,0.965,1,1,1,1
463.75,INR,UPI,investment,M750,0.35,U1373,559,2,2130,2015,desktop,0,173.248.78.204,0.0,Hyderabad,11,5,2,15,1,23289,22825.25,0.02,0.02,0,0,0,0
1315.3,INR,card,crypto,M508,0.14,U1079,506,1,4540,4811,mobile,0,197.215.221.89,0.06,Delhi,21,5,1,2,0,6004,4688.7,0.219,0.219,0,0,0,0
6139.33,INR,netbanking,electronics,M243,0.17,U2553,89,3,1923,2002,mobile,0,153.118.182.240,0.24,Chennai,19,2,2,21,0,47907,41767.67,0.128,0.128,0,0,0,0
2210.9,INR,UPI,gaming,M124,0.18,U2669,465,2,4486,4285,desktop,0,153.182.201.247,0.14,Mumbai,18,5,3,10,0,14641,12430.1,0.151,0.151,0,0,0,0
5976.3,INR,card,crypto,M713,0.05,U3131,761,1,704,833,desktop,0,109.179.219.65,0.28,Hyderabad,20,2,2,13,2,35792,29815.7,0.167,0.167,0,0,0,0
10414.25,INR,card,travel,M809,0.9,U5439,55,3,3690,3722,mobile,1,175.206.253.70,0.83,Bangalore,4,2,11,22,4,11980,1565.75,0.869,0.869,1,1,1,1
4690.97,INR,netbanking,crypto,M671,0.09,U1465,609,3,837,675,tablet,0,156.50.86.81,0.07,Kolkata,19,4,4,21,2,30597,25906.03,0.153,0.153,0,0,0,0
693.78,INR,netbanking,gaming,M625,0.09,U1248,137,3,3017,2874,tablet,0,89.229.45.212,0.23,Chennai,11,2,2,18,2,8969,8275.22,0.077,0.077,0,0,0,0
2157.05,INR,UPI,luxury,M352,0.36,U1931,167,2,3696,3771,tablet,0,228.59.105.196,0.17,Kolkata,21,5,1,2,2,15619,13461.95,0.138,0.138,0,0,0,0
1574.33,INR,netbanking,food,M524,0.27,U2335,341,1,1504,1733,mobile,0,11.166.111.67,0.28,Bangalore,19,4,4,20,2,34334,32759.67,0.046,0.046,0,0,0,0
23216.58,INR,card,electronics,M852,0.88,U5524,291,2,4085,4349,desktop,1,36.185.189.147,0.75,Hyderabad,4,5,13,19,4,24186,969.42,0.96,0.96,1,1,1,1
12575.08,INR,ATM,travel,M344,0.27,U2338,619,3,2280,2221,mobile,0,37.21.191.191,0.35,Pune,19,4,2,9,2,47264,34688.92,0.266,0.266,0,0,0,1
1239.5,INR,UPI,crypto,M712,0.38,U2406,940,2,4392,4587,mobile,0,202.167.209.69,0.15,Kolkata,9,2,5,11,0,16687,15447.5,0.074,0.074,0,0,0,0
2853.7,INR,UPI,travel,M389,0.15,U2090,716,2,717,742,mobile,0,46.152.112.48,0.3,Hyderabad,10,1,2,14,2,9588,6734.3,0.298,0.298,0,0,0,0
16718.79,INR,netbanking,electronics,M602,0.63,U5209,304,2,3878,4111,mobile,1,122.96.103.94,0.76,Pune,1,5,11,26,7,17311,592.21,0.966,0.966,1,1,1,1
714.5,INR,UPI,food,M173,0.17,U1742,768,1,2717,2724,tablet,0,179.119.216.164,0.08,Chennai,18,1,2,6,1,15638,14923.5,0.046,0.046,0,0,0,1
247.47,INR,card,food,M778,0.02,U3323,55,3,914,704,tablet,0,158.86.135.213,0.03,Delhi,11,1,4,7,1,27451,27203.53,0.009,0.009,0,0,0,0
11695.8,INR,UPI,crypto,M536,0.89,U4601,807,3,2651,2419,desktop,1,29.108.173.235,0.78,Hyderabad,0,1,8,11,5,13025,1329.2,0.898,0.898,1,1,1,1
605.95,INR,UPI,investment,M384,0.02,U3123,490,1,4087,3954,desktop,0,121.168.252.177,0.11,Kolkata,21,2,3,20,0,8998,8392.05,0.067,0.067,0,0,0,0
4150.96,INR,card,crypto,M299,0.37,U3094,45,3,4871,5055,desktop,0,29.43.38.24,0.28,Delhi,16,2,3,11,0,33454,29303.04,0.124,0.124,0,0,0,1
4353.46,INR,UPI,investment,M353,0.3,U1240,844,2,2564,2378,mobile,0,162.139.135.196,0.22,Mumbai,14,3,1,5,0,33808,29454.54,0.129,0.129,0,0,0,0
2342.96,INR,ATM,electronics,M880,0.07,U3351,328,3,754,710,mobile,0,129.48.12.127,0.26,Hyderabad,18,4,1,4,0,14775,12432.04,0.159,0.159,0,0,0,0
6457.34,INR,card,crypto,M818,0.19,U2370,881,3,3451,3479,desktop,0,179.23.64.212,0.26,Delhi,11,4,3,5,0,49096,42638.66,0.132,0.132,0,0,0,0
2037.19,INR,card,luxury,M407,0.14,U2057,436,1,766,831,tablet,0,229.57.69.175,0.01,Bangalore,13,4,3,20,2,11311,9273.81,0.18,0.18,0,0,0,0
13353.25,INR,UPI,electronics,M893,0.74,U5816,291,3,2302,2129,tablet,1,190.220.82.253,0.91,Chennai,1,2,12,18,4,15314,1960.75,0.872,0.872,1,1,1,1
585.65,INR,UPI,retail,M589,0.1,U1199,538,2,3814,3674,desktop,0,145.209.47.135,0.21,Bangalore,13,0,2,9,2,7273,6687.35,0.081,0.081,0,0,0,0
12409.89,INR,card,food,M682,0.28,U3280,746,3,768,717,tablet,0,69.26.67.37,0.25,Hyderabad,21,5,1,4,0,44452,32042.11,0.279,0.279,0,0,0,0
34940.86,INR,netbanking,gaming,M737,0.68,U5749,526,3,2577,2718,desktop,1,85.181.36.43,0.99,Bangalore,0,3,10,29,7,36761,1820.14,0.95,0.95,1,1,1,1
8577.94,INR,UPI,electronics,M172,0.22,U3220,841,3,4724,4550,mobile,0,229.32.87.120,0.16,Pune,11,3,4,8,2,45622,37044.06,0.188,0.188,0,0,0,1
17540.12,INR,UPI,travel,M477,0.71,U5771,677,3,551,784,tablet,1,115.141.188.192,0.71,Hyderabad,2,2,10,24,6,18501,960.88,0.948,0.948,1,1,1,1
16745.57,INR,card,retail,M836,0.75,U3819,382,3,1920,2073,desktop,1,212.30.21.223,0.78,Bangalore,4,3,11,19,5,17665,919.43,0.948,0.948,1,1,1,1
8030.58,INR,ATM,travel,M399,0.75,U4150,392,3,929,648,mobile,1,82.238.21.160,0.87,Hyderabad,4,0,12,22,4,8770,739.42,0.916,0.916,1,1,1,0
31123.87,INR,ATM,food,M204,0.64,U5256,380,2,4852,4745,tablet,1,177.105.169.50,0.94,Hyderabad,4,3,8,19,2,34828,3704.13,0.894,0.894,1,1,1,1
40730.98,INR,UPI,crypto,M241,0.93,U4107,586,3,4662,4798,mobile,1,162.70.140.222,0.86,Delhi,0,1,11,16,7,47137,6406.02,0.864,0.864,1,1,1,1
4293.54,INR,UPI,crypto,M941,0.18,U2973,125,3,4436,4313,mobile,0,58.239.79.81,0.35,Pune,10,1,1,15,0,14412,10118.46,0.298,0.298,0,0,0,0
10242.47,INR,card,electronics,M740,0.1,U2375,115,3,3636,3674,tablet,0,21.11.193.254,0.23,Hyderabad,11,5,2,19,2,42562,32319.53,0.241,0.241,0,0,0,0
39071.03,INR,ATM,travel,M109,0.74,U4968,760,2,1255,1454,desktop,1,147.211.110.132,0.84,Chennai,0,4,12,18,7,44960,5888.97,0.869,0.869,1,1,1,1
23581.88,INR,card,retail,M435,0.72,U5062,167,2,2323,2207,desktop,1,193.27.88.184,0.98,Chennai,0,1,10,24,2,26625,3043.12,0.886,0.886,1,1,1,1
5133.03,INR,card,investment,M532,0.64,U5445,783,1,2752,3009,desktop,1,155.205.119.224,0.71,Pune,0,3,14,23,2,5998,864.97,0.856,0.856,1,1,1,1
40343.33,INR,ATM,travel,M740,0.88,U4557,291,3,2015,1963,desktop,1,5.132.72.143,0.9,Kolkata,1,2,11,23,5,45174,4830.67,0.893,0.893,1,1,1,1
2058.19,INR,netbanking,retail,M906,0.21,U1964,489,1,1661,1443,desktop,0,215.44.179.4,0.1,Kolkata,17,0,4,15,1,11222,9163.81,0.183,0.183,0,0,0,0
537.62,INR,UPI,luxury,M988,0.2,U1179,532,1,1625,1813,desktop,0,247.54.24.73,0.15,Hyderabad,9,5,2,13,0,9722,9184.38,0.055,0.055,0,0,0,0
6358.99,INR,UPI,investment,M363,0.65,U4698,860,3,2450,2415,tablet,1,53.240.98.99,0.95,Pune,3,0,13,15,2,6972,613.01,0.912,0.912,1,1,1,1
6409.78,INR,card,retail,M669,0.71,U4821,246,1,1450,1519,tablet,1,181.3.72.143,0.74,Mumbai,4,5,8,19,4,7425,1015.22,0.863,0.863,1,1,1,1
19779.12,INR,ATM,crypto,M311,0.65,U5878,533,1,2536,2430,mobile,1,60.240.170.232,0.8,Hyderabad,0,5,11,29,6,21036,1256.88,0.94,0.94,1,1,1,0
40307.58,INR,ATM,investment,M782,0.99,U4899,488,1,1290,1573,mobile,1,220.126.88.143,0.97,Chennai,4,1,11,30,2,44374,4066.42,0.908,0.908,1,1,1,1
27201.36,INR,card,travel,M178,0.86,U5487,822,1,2480,2583,tablet,1,136.10.156.245,0.77,Hyderabad,3,0,13,28,2,31153,3951.64,0.873,0.873,1,1,1,1
